"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2015","154.53","154.40","155.60","153.30","633.48K","-0.03%"
"Jan 02, 2015","158.55","154.98","159.60","154.60","1.26M","2.60%"
"Jan 05, 2015","159.08","159.80","160.90","157.96","1.26M","0.33%"
"Jan 06, 2015","154.34","158.00","158.00","153.67","1.58M","-2.98%"
"Jan 07, 2015","151.53","154.40","155.30","150.97","1.54M","-1.82%"
"Jan 08, 2015","153.76","153.49","154.80","152.29","1.05M","1.47%"
"Jan 09, 2015","152.93","155.60","156.40","150.47","1.47M","-0.54%"
"Jan 12, 2015","155.58","153.38","156.43","151.81","1.10M","1.73%"
"Jan 13, 2015","156.41","156.40","159.80","155.28","1.51M","0.53%"
"Jan 14, 2015","157.36","157.42","158.71","155.35","3.93M","0.61%"
"Jan 15, 2015","162.56","163.28","164.92","161.40","2.68M","3.30%"
"Jan 16, 2015","160.59","162.60","163.80","160.02","1.09M","-1.21%"
"Jan 19, 2015","164.97","161.79","165.38","161.29","1.33M","2.73%"
"Jan 20, 2015","171.65","165.78","172.80","165.30","2.19M","4.05%"
"Jan 21, 2015","171.01","172.16","175.80","170.05","2.38M","-0.37%"
"Jan 22, 2015","170.92","171.45","172.40","168.47","1.64M","-0.05%"
"Jan 23, 2015","175.06","172.70","176.21","171.68","1.74M","2.42%"
"Jan 27, 2015","176.49","175.82","176.98","172.50","1.23M","0.82%"
"Jan 28, 2015","176.67","177.00","179.00","174.91","1.70M","0.10%"
"Jan 29, 2015","174.80","176.50","177.58","174.40","1.20M","-1.06%"
"Jan 30, 2015","172.50","175.25","177.18","171.50","1.37M","-1.32%"
"Feb 02, 2015","166.45","172.50","172.50","163.81","3.35M","-3.51%"
"Feb 03, 2015","161.30","167.25","168.17","160.26","2.88M","-3.09%"
"Feb 04, 2015","160.18","162.01","164.40","158.22","2.00M","-0.69%"
"Feb 05, 2015","161.64","159.90","165.28","158.81","2.10M","0.91%"
"Feb 06, 2015","161.96","161.98","164.31","159.63","1.53M","0.20%"
"Feb 09, 2015","159.53","161.54","161.55","158.46","1.56M","-1.50%"
"Feb 10, 2015","163.54","158.42","165.75","156.77","3.08M","2.51%"
"Feb 11, 2015","165.33","163.80","166.98","163.80","1.67M","1.09%"
"Feb 12, 2015","167.71","165.00","168.22","163.15","1.63M","1.44%"
"Feb 13, 2015","167.03","167.80","168.98","166.31","1.26M","-0.41%"
"Feb 16, 2015","162.98","167.40","168.35","162.17","1.36M","-2.42%"
"Feb 18, 2015","163.90","162.62","164.90","161.33","1.48M","0.56%"
"Feb 19, 2015","162.60","164.02","165.45","160.55","1.11M","-0.79%"
"Feb 20, 2015","164.89","162.60","166.40","161.12","1.48M","1.41%"
"Feb 23, 2015","162.28","168.00","168.24","161.62","1.62M","-1.58%"
"Feb 24, 2015","160.01","162.38","162.59","159.20","1.65M","-1.40%"
"Feb 25, 2015","158.97","160.80","162.16","158.52","1.31M","-0.65%"
"Feb 26, 2015","156.70","159.30","160.20","156.10","1.83M","-1.43%"
"Feb 27, 2015","164.17","157.40","164.74","157.24","1.99M","4.77%"
"Feb 28, 2015","172.55","166.30","173.88","162.50","4.69M","5.10%"
"Mar 02, 2015","176.38","174.80","177.70","173.20","3.48M","2.22%"
"Mar 03, 2015","175.80","176.60","176.90","173.04","1.59M","-0.33%"
"Mar 04, 2015","171.68","180.00","182.00","170.55","3.19M","-2.34%"
"Mar 05, 2015","171.35","171.40","173.02","168.59","1.49M","-0.19%"
"Mar 09, 2015","164.71","170.54","170.54","164.20","1.51M","-3.88%"
"Mar 10, 2015","165.46","165.00","169.20","163.41","1.89M","0.46%"
"Mar 11, 2015","164.61","165.30","166.60","163.25","1.57M","-0.51%"
"Mar 12, 2015","164.58","165.80","166.77","164.00","1.12M","-0.02%"
"Mar 13, 2015","160.64","165.40","166.51","159.40","1.95M","-2.39%"
"Mar 16, 2015","162.74","161.24","163.83","159.55","1.43M","1.31%"
"Mar 17, 2015","166.59","164.02","167.43","163.44","1.45M","2.37%"
"Mar 18, 2015","170.75","167.40","171.64","165.86","2.35M","2.50%"
"Mar 19, 2015","166.66","172.60","173.97","164.26","1.94M","-2.40%"
"Mar 20, 2015","166.45","165.58","168.25","163.38","1.99M","-0.13%"
"Mar 23, 2015","165.50","166.67","167.82","164.72","1.00M","-0.57%"
"Mar 24, 2015","164.51","166.00","167.14","162.42","1.97M","-0.60%"
"Mar 25, 2015","161.50","166.00","166.00","161.10","1.63M","-1.83%"
"Mar 26, 2015","161.16","160.20","162.73","158.62","1.82M","-0.21%"
"Mar 27, 2015","163.14","162.20","164.20","156.80","2.82M","1.23%"
"Mar 30, 2015","164.63","164.10","165.40","163.06","1.02M","0.91%"
"Mar 31, 2015","163.31","165.38","166.80","162.60","1.49M","-0.80%"
"Apr 01, 2015","169.40","162.80","170.56","161.80","1.69M","3.73%"
"Apr 06, 2015","169.16","169.50","171.40","168.30","1.30M","-0.14%"
"Apr 07, 2015","168.24","169.60","170.40","167.25","1.20M","-0.54%"
"Apr 08, 2015","164.10","167.60","168.62","163.79","2.41M","-2.46%"
"Apr 09, 2015","168.48","164.90","168.98","164.19","1.70M","2.67%"
"Apr 10, 2015","168.38","169.00","170.00","167.63","1.13M","-0.06%"
"Apr 13, 2015","168.18","168.44","169.40","167.26","833.61K","-0.12%"
"Apr 15, 2015","169.13","168.96","172.80","167.25","2.75M","0.56%"
"Apr 16, 2015","170.02","169.40","170.90","167.09","1.26M","0.53%"
"Apr 17, 2015","162.05","169.80","169.80","161.20","1.73M","-4.69%"
"Apr 20, 2015","157.54","162.40","163.24","155.34","2.09M","-2.78%"
"Apr 21, 2015","156.91","157.00","160.56","154.53","1.64M","-0.40%"
"Apr 22, 2015","159.15","158.00","160.28","155.32","5.16M","1.43%"
"Apr 23, 2015","170.28","160.90","170.90","160.84","6.04M","6.99%"
"Apr 24, 2015","164.83","170.80","171.00","164.10","1.84M","-3.20%"
"Apr 27, 2015","162.24","166.22","166.22","161.00","1.39M","-1.57%"
"Apr 28, 2015","165.14","162.62","166.38","161.28","2.37M","1.79%"
"Apr 29, 2015","166.86","164.96","168.78","164.10","1.30M","1.04%"
"Apr 30, 2015","167.96","167.00","169.69","165.40","1.22M","0.66%"
"May 04, 2015","170.71","170.00","171.78","169.40","791.77K","1.64%"
"May 05, 2015","171.47","170.74","172.98","169.80","1.10M","0.45%"
"May 06, 2015","164.24","170.98","170.98","163.40","1.56M","-4.22%"
"May 07, 2015","159.75","164.00","164.02","157.80","1.45M","-2.73%"
"May 08, 2015","165.25","162.02","165.83","160.96","1.66M","3.44%"
"May 11, 2015","169.01","167.00","169.67","165.63","1.26M","2.28%"
"May 12, 2015","164.62","168.87","168.87","163.60","1.94M","-2.60%"
"May 13, 2015","168.14","164.92","169.94","164.92","2.65M","2.14%"
"May 14, 2015","167.73","168.45","169.00","165.40","1.19M","-0.24%"
"May 15, 2015","170.03","168.60","172.79","168.59","1.71M","1.37%"
"May 18, 2015","172.91","170.40","173.68","170.40","1.06M","1.69%"
"May 19, 2015","172.82","173.20","175.49","171.71","2.08M","-0.05%"
"May 20, 2015","174.96","173.80","175.88","173.33","1.17M","1.24%"
"May 21, 2015","172.40","174.36","174.36","170.71","1.14M","-1.46%"
"May 22, 2015","173.36","172.80","174.50","172.20","2.19M","0.56%"
